date,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,BlkWghtMean,BlkWghtTot,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,FlowTfrFromExCnt,HashRate,HashRate30d,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,RevAllTimeUSD,RevHashNtv,RevHashRateNtv,RevHashRateUSD,RevHashUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,SplyMiner0HopAllNtv,SplyMiner0HopAllUSD,SplyMiner1HopAllNtv,SplyMiner1HopAllUSD,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2015-12-31,353317,8867,1067980,3184090,877,363695,1971314,61,108177,7039189,3475880,2394295,1224629,16575,2,139975,103,517328,1731,0,913788,6235,1766376,89322,46,2987523,275179,490,1614336712,142,552912.105633803,2211648.4225352100,314054076,2540752322.366740000000000000,1.42597532,1.23767879,6457837561.228560000000000000,5605096007.201140000000000000,4528716204.789030000000000000,103880340815.456000,99546055384.9712,3.2E-07,0.000163633489598957,0.07030957201490610000000000000,0.0001,0.0429677153419053,25.09319563,10781.97286848580000000000,53503.0764841,22989049.6028500000000000000,37107.51097959,15944249.68817650000000000000,9872,702681.498032921,684811.127105509,3550,8.62137157003403,0.023620196082285,1525353.89463764000,3550,1525353.89463764000,0.35409330088,46.81140933,40.70302526782820,40.63007795,35.328290971491800,1,429.677153419053,33.9967843091314,18.52104311141580,1507453694.3195500,6E-08,0.005087786153,2.186105471407,0.0000253,3575.09319563,1536135.86750612000000000000,0.037209613689,13151256.30325640,4239864.00028323,324179.27186167,5913165.97158893,8789377.77577444,1922814.51475317,11443104.72063640,12060690.67561220,12884499.10202560,741093.17488742,3253047.37119593,13151256.30325640,39.343701,8779249.76613103,14967042.90633980,15025986.37027490,5321849.20795539,14565324.70088360,15017867.67321080,2497078.47561513,13372992.44053240,15026318.6270546,15022462.9361128,14985538.6098534,14737446.6659868,13741947.6948682,9620197.05452304,325228.14184148,2961629.13060125,6258957.35385077,0,15025614.48605290,15013872.27943800,14937133.75971120,8278446.44789049,13014897.45333570,2208787.43740546,14390850.8336996,4573003.68208743,2931629.11811192,14866219.18416700,12474905.99438890,15029511.13374740,19927459.375,13044901.18359780,1931278.26686743,829826148.1676800000000000000,3056779.51065577,1313428318.768260000000000000,153350,1.77488425925926,339193,321065.12811401,137954350.3101510000000000000,3.06163227625467,1315.513441277000000000000000,0.0285,12.2457988724430000,32.6963313530159,0.03247529775770440,0.032440860603614400
2016-01-01,316781,8877,1068512,3188591,877,363548,1972087,61,108080,7058031,3480928,2395242,1225320,16598,2,139888,103,517248,1731,0,918748,6276,1773206,89601,46,2995527,277522,493,1614336713,135,492924.844444444,1971699.3777777800,266179416,2570231585.629800000000000000,1.44202141,1.25161983,6534464975.488940000000000000,5671667514.730330000000000000,4531461839.695690000000000000,103880340815.456000,103880340815.456,3E-07,0.000159713691401384,0.06942402897776840000000000000,0.0001,0.0434678006428989,19.87269548,8638.22365361678000000000,30112.79869976,13089371.30680910000000000000,30071.89119515,13071589.71425730000000000000,8349,697129.166405806,688647.895503464,3375,8.19453423009042,0.0224507787125765,1467038.271697840000,3375,1467038.271697840000,0.35440387093,86.14053595,41.14725609323260,74.76671484,35.71425611426050,1,434.678006428989,38.091009071110200,21.005260642913800,1508929370.8149100,6E-08,0.004869790075,2.116790641481,0.0000245,3394.87269548,1475676.49535145000000000000,0.037195618913,13153437.97759750,4239912.12838771,275906.25665045,5912955.2165407,8782093.43955612,1805959.830787,11445006.5420322,12062207.70607120,12886663.79636660,694737.53841528,3249275.74823853,13153437.97759750,39.333466,8784670.67637247,14970389.57176190,15029356.56382040,5327713.03704978,14568418.4057288,15021219.35158100,2498029.48142594,13375849.69262450,15029689.5233724,15025817.0966616,14988914.1857253,14740637.2465329,13744976.9431845,9627027.99344758,325228.14184148,2962580.13641206,6264373.77120984,0,15028992.90334860,15017363.47822800,14941510.01777480,8291698.42850459,13026130.75245620,2208787.43740546,14399687.71940130,4584635.26067715,2932580.12392273,14870333.75949800,12487162.24094440,15032886.13374190,19927881.25,13047974.43359230,1932223.2041351,839894930.3492790000000000000,3063877.09269953,1331799986.598080000000000000,124427,1.44012731481481,320580,174515.81844861,75858188.05356520000000000000,2.71696608293739,1181.005400466400000000000000,0.01170076,5.08606303050406000000,32.718631434009,0.03235832982121300,0.03233462891294270
2016-01-02,417966,8864,1071201,3167125,877,363680,1980471,61,108130,7043170,3459153,2372051,1228991,16606,2,139886,103,517676,1733,0,920489,6261,1780312,89658,46,2973091,277308,492,1614336713,145,576329.579310345,2305318.3172413800,334271156,2569706658.002070000000000000,1.44085731,1.25055566,6532460051.432980000000000000,5669683484.614660000000000000,4533731401.849150000000000000,103880340815.456000,103880340815.456,3.7E-07,0.000211244962871287,0.09177323574260010000000000000,0.0001,0.0434439877264757,31.23552519,13569.95772984380000000000,24549.02948242,10665077.35531140000000000000,24008.53263956,10430263.97323740000000000000,8570,748768.363917347,696495.514206644,3625,8.79941489240087,0.0241079860065777,1574844.555084740000,3625,1574844.555084740000,0.354347447374,79.29395821,41.048731274727500,68.82118555,35.62720811766080,1,434.439877264757,37.505893830154800,20.27346844548910,1510517785.32772,6E-08,0.004882999471,2.121369691028,0.00002455,3656.23552519,1588414.51281459000000000000,0.037308071158,13155815.35525170,4236633.30251157,172243.73121173,5914987.99369202,8782279.19930985,1789365.3408102,11444640.68576010,12063808.63435150,12888559.03402080,638128.92734041,3249265.65856111,13155815.35525170,39.337503,8782433.24944549,14973997.95742090,15032981.07715810,5328149.3376546,14570827.14605060,15025151.82804380,2498241.68749242,13378419.64266540,15033313.675556,15029434.6453433,14992643.009139,14743401.7238513,13747026.1227741,9627596.72190231,325228.14184148,2962792.34247854,6267204.55125426,0,15032615.57992670,15021268.49121730,14944918.53804980,8288372.32171313,13028792.64129560,2208787.43740546,14401322.27052060,4584499.28117351,2932792.32998921,14872309.07138850,12482124.46346840,15036511.1337419,19928334.375,13050559.53958720,1933613.56561053,840038840.1213080000000000000,3064799.52616628,1331471129.988760000000000000,147864,1.71138888888889,405602,189629.97273045,82382822.07873590000000000000,1.76576520174987,767.1188175265920000000000000,0.0069,2.9976351531268200,32.7123860631268,0.032349415102440700,0.032359003530149600
2016-01-03,398443,8851,1072753,3176498,876,363653,1983906,61,108112,7061365,3470414,2376580,1231382,16600,2,139813,103,517896,1731,0,917204,6230,1776311,89415,47,2976963,275097,490,1614336714,145,565801.75862069,2263207.0344827600,328165020,2544093024.508190000000000000,1.42578556,1.23744844,6469306703.423510000000000000,5614752819.140990000000000000,4537363053.766040000000000000,103880340815.456000,103880340815.456,3E-07,0.000168745991146598,0.07258375602408400000000000000,0.0001,0.0430136180011689,24.47306235,10526.74955241690000000000,36097.17306271,15526700.13041490000000000000,28600.56294301,12302136.89049020000000000000,10055,748768.363917347,703017.607597373,3625,8.79729404198428,0.0241021754574912,1559243.652542370000,3625,1559243.652542370000,0.35462014812,64.69371227,40.64418400776150,56.14808819,35.27534822525860,1,430.136180011689,50.582962035429300,18.41599155002800,1512087555.7298100,6E-08,0.004873968023,2.096469986902,0.00002426,3649.47306235,1569770.40209479000000000000,0.037365673967,13158492.35351750,4230304.72463901,210302.72599534,5914622.25855786,8780981.75438082,1772650.60695696,11445023.03889380,12066057.94286370,12891214.47228670,636095.32331228,3257945.02661653,13158492.35351750,39.32559,8783965.63799864,14977438.74773620,15036601.55925110,5333535.30348772,14573349.57397780,15028743.08796570,2503987.72393355,13381804.94523040,15036936.4897531,15033037.5649168,14996189.754263,14746256.5189371,13749729.0775819,9629688.52059356,325228.14184148,2968538.37891967,6271853.75034878,0,15036223.88805240,15024688.06097250,14947246.22200200,8285461.9064291,13026836.91711630,2232108.59953321,14398767.10553380,4587051.05891107,2938538.36643034,14876033.89907170,12492389.67752370,15040136.13374190,19928787.5,13053430.70417470,1934148.92879038,831947431.8035940000000000000,3064180.1347484,1318014738.028380000000000000,145029,1.67857638888889,432531,232482.19349984,99999002.63275950000000000000,1.84588356363132,793.9813048067390000000000000,0.00512564,2.20472320971511000000,32.7028983917668,0.03234939991953640,0.03249253254993130
2016-01-04,413159,8853,1075846,3186226,877,363689,1990669,61,108143,7069295,3480417,2385131,1235236,16600,2,139865,103,518339,1732,0,923128,6263,1787864,89669,46,2989420,276575,491,1614336715,181,550678.895027624,2202715.5801105000,398691520,2564753289.366100000000000000,1.4358758,1.24621455,6521092888.510420000000000000,5659738009.725690000000000000,4541543825.929030000000000000,103880340815.456000,103880340815.456,3E-07,0.000170138388473255,0.07374630942316380000000000000,0.0001,0.043344897106955,30.38263286,13169.320951550900000000,41544.0445133,18007223.348357500000000000,43291.4268335,18764624.417113300000000000,9490,934669.474958895,713085.354064584,4525,10.9781469008682,0.0300771147968993,1961356.59408971000,4525,1961356.59408971000,0.354502621533,58.17052866,40.918827454970400,50.48692876,35.513961696258600,1,433.44897106955,64.6000990877111,11.322600488203900,1514062081.644860,6E-08,0.004873789885,2.112539210856,0.00002445,4555.38263286,1974525.915041260000000000,0.037494193065,13161299.83183490,4232422.36031608,271152.78238002,5917082.42619075,8778360.58380384,1766290.93478766,11446010.17112130,12067842.82952120,12893948.560604,642009.58472523,3258070.74130118,13161299.83183490,39.330114,8786678.47487661,14981713.8527703,15041126.92520010,5333371.81198132,14576084.49278240,15033241.15722140,2501955.75236817,13384863.86975880,15041462.3075668,15037555.4443744,15000553.7387346,14749461.4495123,13753116.6632792,9632217.58638599,325228.14333272,2966506.40735429,6272203.12998416,0,15040755.56359560,15029298.3905558,14952191.05316660,8295123.66591144,13035058.48317740,2208787.44319236,14404858.99257530,4586998.37258525,2936506.39486496,14879550.59743550,12497312.32089330,15044661.13374180,19929353.125,13057449.40577460,1935881.8288534,839105986.82874500000000000,3066991.88419767,1329384476.484140000000000000,178576,2.06685185185185,419538,258630.29750686,112103036.341760000000000000,2.20192021335114,954.420050854296000000000000,0.01740535,7.5443310486053900000,32.6929943777167,0.03233776084154400,0.03018478579285350
2016-01-05,435291,8911,1075480,3189286,879,363244,1990179,60,108113,7079707,3484190,2385764,1235182,16686,2,139815,102,517674,1737,0,921591,6299,1785221,89671,46,2991587,275726,493,1614336715,157,641049.082802548,2564196.331210190,402578824,2560729119.547050000000000000,1.43257229,1.24332922,6511064277.770980000000000000,5650951497.403170000000000000,4545016222.711580000000000000,103880340815.456000,103880340815.456,3.2E-07,0.000177019681093766,0.07659101737456820000000000000,0.0001,0.0432669502630041,32.51125761,14066.62965999580000000000,48262.02804237,20881507.66900930000000000000,64336.46601716,27836426.75261920000000000000,11463,810735.400931196,720854.862054301,3925,9.519997342394,0.0260821844997096,1698227.797822910000,3925,1698227.797822910000,0.353663134036,44.82109866,40.754906278675700,38.90022334,35.37117571520140,1,432.669502630041,57.33216105639150,10.004693366045900,1515774376.0723400,6E-08,0.004881384547,2.112026223989,0.00002444,3957.51125761,1712294.42748291000000000000,0.037454137224,13164989.09636200,4224411.51110269,328368.8061352,5918441.45238179,8773262.93536532,1727063.55407529,11431708.7651539,12070435.05469870,12897263.18513120,628966.90240323,3260567.33666621,13164989.09636200,39.328887,8791681.86172869,14985588.16858940,15045049.62394700,5322130.13486247,14580153.98676180,15037143.04318130,2481241.48735625,13390784.98234630,15045385.8731622,15041466.7837369,15004464.8388079,14753287.0659652,13758763.793436,9640571.94243571,325228.14333272,2945792.14234237,6264079.84602531,0,15044676.29704910,15033147.70136580,14955811.10477530,8295582.31197216,13041379.54157220,2208787.44429236,14407932.7740127,4576333.28081452,2925792.13959219,14884171.78643450,12506819.85203020,15048586.13374080,19929843.75,13060665.15678390,1936168.67254291,837721136.5570080000000000000,3079309.85361535,1332323462.807540000000000000,183659,2.12568287037037,438135,335747.81933585,145267842.0011630000000000000,2.872012251007,1242.632112190580000000000000,0.0196203,8.4891054424521900000,32.6992024345183,0.0323364037185379,0.030174201902679000
2016-01-06,381359,8917,1077658,3197782,887,363954,1996144,60,107868,7089537,3492378,2393771,1237886,16676,2,139581,102,518734,1751,0,921273,6297,1785838,89320,46,2998171,275174,490,1614336716,141,668967.574468085,2675870.2978723400,377297712,2550451171.518500000000000000,1.42542709,1.23715094,6482611157.065960000000000000,5626361783.085430000000000000,4547837782.625360000000000000,103880340815.456000,103880340815.456,3.3E-07,0.000179407136571056,0.07726668338145420000000000000,0.0001,0.0430677869666862,30.82358132,13275.03433840090000000000,41569.47408814,17903052.54345200000000000000,51593.08090511,22219998.17376280000000000000,11333,728112.684912731,725857.501538536,3525,8.54780428186167,0.0234186418681142,1518139.49057569000,3525,1518139.49057569000,0.353769958461,46.36561123,40.46377206766050,40.24145467,35.11915418724660,1,430.677869666862,49.77519980165860,8.936786724415600,1517305790.5972500,6E-08,0.004883617131,2.103265822237,0.00002434,3555.82358132,1531414.52491409000000000000,0.037528884193,13173669.94937510,4228183.44713916,348265.19099955,5921946.19493992,8771723.61558723,1710297.11189892,11435763.59123340,12078397.83417560,12905900.61814420,640390.42405366,3236191.13913502,13173669.94937510,39.342961,8796295.43184721,14988898.35636600,15048574.82997480,5324984.73053525,14582462.07393920,15040644.86218860,2481772.52576959,13387841.51772360,15048910.6980564,15044989.9636961,15007846.1475267,14756006.6932983,13756068.470007,9643809.29332012,325228.14333272,2946323.18075571,6274740.95804526,0,15048196.96361270,15036527.82804890,14958538.42936090,8298334.91675235,13035935.31175660,2209007.18278026,14407413.82888840,4556341.45776248,2926323.17800553,14886979.4833999,12514335.82135120,15052111.13373530,19930284.375,13063967.71080330,1930897.91045459,831594998.6187780000000000000,3076290.80056718,1324890368.464040000000000000,171808,1.98851851851852,377133,324639.54934984,139815069.5235990000000000000,3.2505149665111,1399.924861097250000000000000,0.02724038,11.73182882731580000000,32.7007945966653,0.032080714157351700,0.030204865812382300
2016-01-07,432867,8927,1079457,3205952,878,364841,2001646,60,107958,7108032,3501485,2402580,1240525,16709,2,139748,103,519713,1734,0,961394,6569,1838654,91596,47,3033756,297478,518,1614336717,147,711416.496598639,2845665.9863945600,418312900,2725902395.227650000000000000,1.51365061,1.31373887,6913751592.747050000000000000,6000634588.676810000000000000,4567600690.163320000000000000,103880340815.456000,103880340815.456,3.5E-07,0.000192511719530894,0.08840310268136150000000000000,0.0001,0.0459208940093513,36.78648695,16892.68368207330000000000,85494.72205099,39259940.69662460000000000000,80668.28473029,37043597.53015820000000000000,13727,759096.203419655,728222.871002298,3675,8.90936539669906,0.0244092202649289,1687592.854843660000,3675,1687592.854843660000,0.353332048815,34.37238899,42.86155659406030,29.83273892,37.200720270693800,1,459.208940093513,54.33749569952570,10.974003544031500,1519010276.1357800,6E-08,0.004889744502,2.245414389964,0.00002599,3711.78648695,1704485.53852573000000000000,0.037554898135,13178187.06900600,4253526.25553167,381893.7822814,5936083.02720011,8784430.85080712,1732551.0302224,11460747.0145279,12103446.70149980,12910318.63777510,686596.37518073,3263539.29461495,13178187.06900600,39.427254,8791533.0460442,14992317.80749920,15052246.12497590,5319691.76115316,14585655.31020800,15044285.2424788,2481992.35585876,13388283.43853020,15052583.1196886,15048664.6871191,15011365.063068,14759289.6907462,13757466.0872099,9641629.15355466,325228.14353272,2956543.01484488,6258782.27485406,0,15051930.06625460,15041234.3827056,14970586.09756740,8352775.21010216,13085473.48152720,2231395.18901529,14458747.86213060,4631874.59004098,2926543.0120947,14890634.16764780,12518495.50598290,15055786.13373500,19930743.75,13067329.62876300,1930183.29214928,886357423.7740780000000000000,3072261.83724826,1410810101.972520000000000000,191087,2.21165509259259,459852,438019.77626989,201142597.2008940000000000000,3.08419913117692,1416.29181406509000000000000,0.017557165,8.062407130696920000000,32.7090421975391,0.032350727355881400,0.03127971356542870
2016-01-08,405522,8938,1077250,3207009,879,363866,1999662,61,107954,7110740,3502589,2402467,1238068,16744,2,139823,104,518908,1737,0,948433,6491,1823997,90951,47,3028883,290606,513,1614336717,173,572671.312138728,2290685.2485549100,396288548,2702686285.954780000000000000,1.49531085,1.29784526,6839314891.010370000000000000,5936138597.201620000000000000,4573841558.500270000000000000,103880340815.456000,103880340815.456,3.2E-07,0.000179208902579578,0.08138493170004980000000000000,0.0001,0.0454134423728814,32.18645653,14616.97788812410000000000,66765.41632824,30320473.86923960000000000000,63252.19836838,28725000.65560490000000000000,11540,893358.116949662,735981.151076403,4325,10.4821603637699,0.0287182475719722,1964131.38262712000,4325,1964131.38262712000,0.353786292654,39.52312265,42.133818701592600,34.30383563,36.56977218153360,1,454.134423728814,59.71393527796800,8.74015731937901,1520989024.496290,6E-08,0.004877312215,2.214955372289,0.00002564,4357.18645653,1978748.36051524000000000000,0.037514776865,13180939.10399010,4278225.08985577,383674.61598649,5951291.39025297,8777215.80591073,1751360.82668311,11462925.86754240,12104908.97563070,12912940.87275920,673786.08178799,3288385.52683834,13180939.10399010,39.516915,8799192.52199505,14996644.18950150,15056570.81508080,5328060.88495651,14590155.6048056,15048585.03296370,2481703.39941316,13395565.32039030,15056907.9021364,15052983.5414499,15015666.2858712,14763958.0783021,13765539.5613195,9652189.59204287,325228.14353272,2956254.05839928,6269399.60700027,0,15056241.62659350,15045257.02863160,14972529.36695390,8341561.99133159,13078760.54537260,2211395.18891529,14450173.03924750,4626781.72896409,2916254.04580995,14895827.31485340,12527211.0938757,15060111.1337344,19931284.375,13071324.89200240,1931821.75550796,877306759.6843930000000000000,3081632.84385773,1399475555.689120000000000000,179603,2.07873842592593,411240,381045.57848474,173045914.1995800000000000000,2.50620518317423,1138.154046607000000000000000,0.018392635,8.35272869657941000000,32.683482443447,0.03209681754184180,0.031370966261432100
2016-01-09,461784,8933,1075471,3218450,878,363967,2000788,61,107951,7135985,3514512,2407059,1236233,16769,2,139837,105,519017,1736,0,943038,6458,1819746,90641,47,3033510,288440,508,1614336718,151,655980.794701987,2623923.178807950,396212400,2632179104.064840000000000000,1.48063286,1.28509396,6776417115.362050000000000000,5881493610.28133000000000000,4576703173.147690000000000000,103880340815.456000,103880340815.456,3.1E-07,0.000167751460665683,0.07546219209903980000000000000,0.0001,0.0449845216247808,31.13701962,14006.83932427110000000000,34795.34555535,15652519.7457636000000000000,32127.50609391,14452404.92631770000000000000,9575,779751.882424272,733661.035573695,3775,9.14687609669571,0.0250599345114951,1698165.6913354800,3775,1698165.6913354800,0.353718046919,64.95358519,41.64917340447400,56.37552851,36.14880003425310,1,449.845216247808,53.79265030679480,8.206118910226420,1522701197.0269500,6E-08,0.004881215558,2.195791468097,0.00002541,3806.13701962,1712172.53065975000000000000,0.037445136287,13184850.28425810,4255179.36287244,343508.69183331,5851299.53369303,8777879.92520932,1709203.00830272,11465148.47499840,12108227.12994840,12916737.6230272,702772.89024069,3290004.99520023,13184850.28425810,38.843227,8799369.02228905,15000250.50326160,15060342.68897480,5328368.38223104,14594305.98532380,15052292.79341370,2481738.29848711,13400334.18984800,15060680.3041276,15056728.3216742,15019261.4212752,14768148.5326053,13770543.6756619,9655953.22155602,325228.14353272,2966488.95760823,6270139.7714005,0,15059999.0864754,15048847.68614910,14975320.63630610,8334819.77065503,13076581.85255350,2211394.54891529,14449362.54833380,4617503.85226989,2916488.935091,14901206.76764440,12540484.4252339,15063886.13373430,19931756.25,13074482.95068980,1931896.62416362,869054454.665294000000000000,3082376.54038291,1386592341.365720000000000000,185614,2.14831018518519,501477,231917.70077152,104327068.2552590000000000000,1.48111368179386,666.2719044741460000000000000,0.0046,2.0692879947399200,32.6545622433366,0.031743581538553600,0.0314236257998812
